run_id,algo,space,params,eligible,n_fit,silhouette_mean,silhouette_std,calinski_harabasz,davies_bouldin,stability_ari,prototype_fidelity,spatial_coherence,largest_share,size_entropy,noise_frac,k_effective,bic,aic
kmeans__k=14__space=l2,kmeans,l2,"{""k"": 14}",True,107362,0.4820087013266595,0.00245022834103,33800.80370183322,1.036341797835578,0.8894899729720981,0.1938333373179181,0.52097583077625,0.2282278646075893,0.9110422968356378,0.0,14,,
kmeans__k=16__space=l2,kmeans,l2,"{""k"": 16}",True,107362,0.4956772463131321,0.0024416223563119,34824.06277657148,0.940739585931664,0.872241901355491,0.2117691533849854,0.5474700797668596,0.1843296510869767,0.9156142809725608,0.0,16,,
kmeans__k=18__space=l2,kmeans,l2,"{""k"": 18}",True,107362,0.5225386289701185,0.0019220926912176,35983.77554008391,0.9142231425043198,0.8963190855048174,0.2292218004821162,0.5569682962335132,0.1842737653918518,0.9135901310418202,0.0,18,,
kmeans__k=20__space=l2,kmeans,l2,"{""k"": 20}",True,107362,0.5117758504707852,0.0023998136277619,36854.70517354882,0.9025963046990032,0.8911130449239106,0.2436370016622548,0.5663969348451993,0.1872263929509509,0.936846706186535,0.0,20,,
gmm__covariance_type=full_k=2__space=standard,gmm,standard,"{""covariance_type"": ""full"", ""k"": 2}",True,107362,0.1800540140501771,0.0016824548223532,20989.33771049472,1.9915960723670665,0.5650534056064774,0.1387916643280124,0.2904417734206649,0.5994206516272051,0.9712884828715384,0.0,2,1484025.765814125,1483172.7932334212
gmm__covariance_type=full_k=3__space=standard,gmm,standard,"{""covariance_type"": ""full"", ""k"": 3}",True,107362,0.2266259784630856,0.0020521998579969,26962.59171282597,1.5981391789253854,0.326719476401341,0.1468046525221961,0.4192516069361138,0.3962761498481772,0.9896333292660476,0.0,3,1353139.4662828518,1351855.2154310052
gmm__covariance_type=full_k=4__space=standard,gmm,standard,"{""covariance_type"": ""full"", ""k"": 4}",True,107362,0.1964915923725426,0.0016471499332788,16410.121641500784,1.907118720359697,0.4315561491060626,0.1777183043935208,0.4383798027158114,0.3864309532236731,0.935944082550734,0.0,4,890805.4489080568,889089.9197850678
gmm__covariance_type=full_k=5__space=standard,gmm,standard,"{""covariance_type"": ""full"", ""k"": 5}",True,107362,0.272060926579513,0.0019465740009381,18953.83433800843,1.89253058138651,0.4594739979893936,0.3146521445016775,0.4596676461954219,0.2997522400849463,0.9594712942035132,0.0,5,418933.85741532553,416787.0500211941
gmm__covariance_type=full_k=6__space=standard,gmm,standard,"{""covariance_type"": ""full"", ""k"": 6}",True,107362,0.2934247460977822,0.0019388899392619,19289.57198217594,1.8498084025896704,0.618705907962241,0.3357672140288925,0.4807524733769086,0.2995659544345299,0.951012449021166,0.0,6,247692.38610158663,245114.3004363127
gmm__covariance_type=full_k=7__space=standard,gmm,standard,"{""covariance_type"": ""full"", ""k"": 7}",True,107362,0.3061432047663803,0.0022249787279689,17866.64634229232,1.8140091284620488,0.6057215605092812,0.3734317150632757,0.4980852092071951,0.2775190477077551,0.9332607153392176,0.0,7,-68700.10007466852,-71709.46401108496
gmm__covariance_type=full_k=8__space=standard,gmm,standard,"{""covariance_type"": ""full"", ""k"": 8}",True,107362,0.3160600585362027,0.0028503883507788,16752.75394661455,1.7753004480946255,0.7905836637370429,0.3580642472609952,0.5052908893405423,0.2107449563160149,0.9675845206335542,0.0,8,-860052.4199932055,-863493.0622007644
gmm__covariance_type=full_k=9__space=standard,gmm,standard,"{""covariance_type"": ""full"", ""k"": 9}",True,107362,0.3249598004781245,0.0023215128965094,16770.35420568674,1.757389349198697,0.7186342753614455,0.3832453969701543,0.5246162057500194,0.2043367299416925,0.9633124053539324,0.0,9,-1000988.1574693276,-1004860.077948029
gmm__covariance_type=full_k=10__space=standard,gmm,standard,"{""covariance_type"": ""full"", ""k"": 10}",True,107362,0.3205838562326438,0.0024199203927059,14957.694731529224,1.8627592580871155,0.6720001532764611,0.468111625876603,0.5349995733607101,0.18630427898139,0.9578873472997108,0.0,10,-1444805.3651111468,-1449108.5638609908
gmm__covariance_type=full_k=12__space=standard,gmm,standard,"{""covariance_type"": ""full"", ""k"": 12}",True,107362,0.39458547244227,0.0022861072440587,20687.412831083257,1.5758002114099536,0.7327886008454817,0.429255931492481,0.5564195047367829,0.175797768297908,0.9503509344988864,0.0,12,-1314320.004479235,-1319485.7597713638
